"pairId:INTEGER","amzn.id:TEXT","bnn.id:TEXT","amzn.ISBN_13:INTEGER","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication Year:TEXT","bnn.Pages:INTEGER",
"41","88","1485","9781452134253","Letters of Note: An Eclectic Collection of Correspondence Deserving of a Wider Audience","Shaun Usher","25.3","Chronicle Books","05/06/2014","352","9781452134253","Letters of Note: An Eclectic Collection of Correspondence Deserving of a Wider Audience","Shaun Usher (Compiler)","25.8","Chronicle Books LLC","5/6/2014","352"
"42","89","262","9781101872222","Adulterio (Spanish Edition)","Paulo Coelho","15.78","Vintage Espanol","08/19/2014","272","9781101872222","Adulterio","Paulo Coelho","16.21","Knopf Doubleday Publishing Group","8/19/2014","272"
"43","100","2380","9780345543240","Sycamore Row: A Novel (Jake Brigance)","John Grisham","7.23","Dell","08/19/2014","656","9780345543240","Sycamore Row","John Grisham","9.99","Random House Publishing Group","8/19/2014","656"
"44","102","3203","9780451468222","Winter of the World: Book Two of the Century Trilogy","Ken Follett","8.13","Signet","08/26/2014","928","9780451468222","Winter of the World (The Century Trilogy #2)","Ken Follett","9.99","Signet","8/26/2014","928"
"45","103","3111","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","16.9","Viking Adult","10/21/2014","192","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","17.19","Viking Adult","10/21/2014","192"
"46","107","3132","9781476756660","We Are Not Ourselves: A Novel","Matthew Thomas","16.8","Simon & Schuster","08/19/2014","640","9781476756660","We Are Not Ourselves","Matthew Thomas","17.22","Simon & Schuster","8/19/2014","640"
"47","108","660","9780399169731","Chasers of the Light: Poems from the Typewriter Series","Tyler Knott Gregson","11.39","Perigee Trade","09/02/2014","144","9780399169731","Chasers of the Light: Poems from the Typewriter Series","Tyler Knott Gregson","11.61","Penguin Group (USA)","9/2/2014","144"
"48","109","1125","9780312424404","Gilead: A Novel","Marilynne Robinson","9.29","Picador","01/10/2006","247","9780312424404","Gilead","Marilynne Robinson","9.38","Picador","1/10/2006","256"
"49","112","2971","9780385353496","The Zone of Interest: A novel","Martin Amis","17.04","Knopf","09/30/2014","320","9780385353496","The Zone of Interest","Martin Amis","17.46","Knopf Doubleday Publishing Group","9/30/2014","320"
"50","115","2910","9780618706419","The Things They Carried","Tim O'Brien","9.54","Mariner Books","10/13/2009","233","9780618706419","The Things They Carried","Tim O'Brien","9.63","Houghton Mifflin Harcourt","10/13/2009","256"
