id:INTEGER,ISBN_13,Title,Author,Price:FLOAT,Publisher,Publication_date,Pages:INTEGER
94,9780440245681,An Echo in the Bone: A Novel (Outlander),Diana Gabaldon,7.91,Dell,05/24/2011,1200
95,9780399158445,The Peripheral,William Gibson,17.69,Putnam Adult,10/28/2014,496
96,9780061561559,Clariel: The Lost Abhorsen (The Old Kingdom),Garth Nix,12.34,HarperCollins,10/14/2014,400
97,9780394551906,You're Only Old Once!: A Book for Obsolete Children (Classic Seuss),Dr. Seuss,12.45,Random House,02/12/1986,56
98,9781476772578,The Means: A Novel,Douglas Brunt,17.54,Touchstone,09/16/2014,352
99,9780399169120,Paris Match (Stone Barrington),Stuart Woods,19.86,Putnam Adult,10/07/2014,320
100,9780345543240,Sycamore Row: A Novel (Jake Brigance),John Grisham,7.23,Dell,08/19/2014,656
101,9780375703768,House of Leaves,Mark Z. Danielewski,14.13,Pantheon,03/07/2000,709
102,9780451468222,Winter of the World: Book Two of the Century Trilogy,Ken Follett,8.13,Signet,08/26/2014,928
103,9780525427919,Wait for Signs: Twelve Longmire Stories,Craig Johnson,16.9,Viking Adult,10/21/2014,192
104,9780062282712,Bad Feminist: Essays,Roxane Gay,9.99,Harper Perennial,08/05/2014,336
105,9781594204791,Blue Horses: Poems,Mary Oliver,17.11,"Penguin Press HC, The",10/14/2014,96
106,9780143125846,The Signature of All Things: A Novel,Elizabeth Gilbert,11.79,Penguin Books,06/24/2014,512
107,9781476756660,We Are Not Ourselves: A Novel,Matthew Thomas,16.8,Simon & Schuster,08/19/2014,640
108,9780399169731,Chasers of the Light: Poems from the Typewriter Series,Tyler Knott Gregson,11.39,Perigee Trade,09/02/2014,144
109,9780312424404,Gilead: A Novel,Marilynne Robinson,9.29,Picador,01/10/2006,247
110,9780374292089,Wolf in White Van: A Novel,John Darnielle,15.56,"Farrar, Straus and Giroux",09/16/2014,224
111,9780871404534,The New Annotated H. P. Lovecraft,H. P. Lovecraft,25.27,Liveright,10/13/2014,928
112,9780385353496,The Zone of Interest: A novel,Martin Amis,17.04,Knopf,09/30/2014,320
113,9780399164767,The Lost Key (A Brit in the FBI),J. T. Ellison,16.33,Putnam Adult,09/30/2014,464
114,9780345538376,"J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings (Movie Tie-in): The Hobbit, The Fellowship of the Ring, The Two Towers, The Return of the King",J.R.R. Tolkien,21.72,Del Rey,09/25/2012,1728
115,9780618706419,The Things They Carried,Tim O'Brien,9.54,Mariner Books,10/13/2009,233
116,9781401324810,Raging Heat (Nikki Heat),Richard Castle,15.51,Kingswell,09/16/2014,304
117,9780345803498,Fifty Shades Darker,E. L. James,8.96,Vintage,04/17/2012,544
118,9781451666175,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,10.02,Touchstone,10/29/2013,384
119,9780553582017,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,8.01,Bantam,10/29/2013,1152
120,451526341,Animal Farm: Anniversary Edition,George Orwell,6.04,Signet Classics,04/01/1996,140
121,9781400032716,The Curious Incident of the Dog in the Night-Time,Mark Haddon,10.35,Vintage,05/18/2004,226
122,9780345803504,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy,E L James,8.98,Vintage,04/17/2012,592
123,9780670026067,The Republic of Imagination: America in Three Books,Azar Nafisi,20.99,Viking Adult,10/21/2014,352
124,9780670025596,The Book of Life: A Novel (All Souls Trilogy),Deborah Harkness,17.26,Viking Adult,07/15/2014,576
125,9780064400558,Charlotte's Web (Trophy Newbery),E. B. White,7.19,HarperCollins,04/10/2012,184
126,9780804139021,The Martian: A Novel,Andy Weir,15.16,Crown,02/11/2014,384
127,9780142180822,We Are All Completely Beside Ourselves: A Novel,Karen Joy Fowler,12.53,Plume,02/25/2014,320
128,9780345530974,Pegasus: A Novel,Danielle Steel,20.52,Delacorte Press,10/28/2014,352
129,9780060850524,Brave New World,Aldous Huxley,8.42,Harper Perennial Modern Classics,10/17/2006,288
130,9781250057174,Robert Kirkman's The Walking Dead: Descent (The Walking Dead Series),Jay Bonansinga,18.58,Thomas Dunne Books,10/14/2014,288
131,9781594486005,A Brief History of Seven Killings: A Novel,Marlon James,19.15,Riverhead Hardcover,10/02/2014,704
132,9780060652937,The Screwtape Letters,C. S. Lewis,8.46,HarperOne,03/03/2009,209
133,9780762457519,"The Pointless Book: Started by Alfie Deyes, Finished by You",Alfie Deyes,9.32,Running Press,10/14/2014,192
134,9780385474542,Things Fall Apart,Chinua Achebe,9.68,Anchor,09/01/1994,209
135,9780345544018,Bones Never Lie: A Novel (Temperance Brennan),Kathy Reichs,18.9,Bantam,09/23/2014,336
136,9780345543127,The Job: A Fox and O'Hare Novel,Janet Evanovich,20.5,Bantam,11/18/2014,304
137,9781250022066,The Long Way Home: A Chief Inspector Gamache Novel,Louise Penny,16.08,Minotaur Books,08/26/2014,384
138,9780345514400,I Know Why the Caged Bird Sings,Maya Angelou,6.24,Ballantine Books,04/21/2009,304
139,9780399164446,Festive in Death,J. D. Robb,16.61,Putnam Adult,09/09/2014,400
140,9781555976903,Citizen: An American Lyric,Claudia Rankine,12.46,Graywolf Press,10/07/2014,160
141,9781312412590,Beautiful Chaos,Robert M. Drake,13.5,lulu.com,08/05/2014,182
142,9781609450786,My Brilliant Friend (Neapolitan),Elena Ferrante,10.75,Europa Editions,09/25/2012,331
143,9781476748047,Zane's Addicted: A Novel,Zane,9.58,Atria Books,08/26/2014,336
144,9780316206877,The Silkworm (A Cormoran Strike Novel),Robert Galbraith,16.09,Mulholland Books,06/19/2014,464
145,9781416971719,Out of My Mind,Sharon M. Draper,6.25,Atheneum Books for Young Readers,05/01/2012,320
146,9780810997417,The Wes Anderson Collection,Matt Zoller Seitz,23.72,Harry N. Abrams,10/08/2013,336
147,9780142403877,The Gruffalo,Julia Donaldson,6,Puffin,03/02/2006,32
148,9781476763125,The Cinderella Murder: An Under Suspicion Novel,Mary Higgins Clark,19.47,Simon & Schuster,11/18/2014,320
149,9781603803403,Star Wars: Imperial Handbook Deluxe Edition,Daniel Wallace,58.49,Becker&mayer! Press,10/14/2014,160
150,9780143117568,Inherent Vice: A Novel,Thomas Pynchon,10.67,Penguin Books,07/27/2010,384
151,9781451696196,The Perks of Being a Wallflower,Stephen Chbosky,8.33,MTV Books,08/14/2012,224
152,9780316201643,S.,J. J. Abrams,35,Mulholland Books,10/29/2013,472
153,9780989768467,Hardpressed (Hacker),Meredith Wild,12.6,Meredith Wild,12/03/2013,286
154,9780142437339,The Crucible,Arthur Miller,8.25,Penguin Classics,03/25/2003,143
155,9781451643534,Ruth's Journey: The Authorized Novel of Mammy from Margaret Mitchell's Gone with the Wind,Donald McCaig,16.45,Atria Books,10/14/2014,384
156,9781250010711,The Silent Sister,Diane Chamberlain,16.59,St. Martin's Press,10/07/2014,352
157,9781476789309,Hyena,Jude Angelini,9.79,Gallery Books,09/23/2014,224
158,9781594631931,Holt McDougal Library: The Kite Runner,Khaled Hosseini,10.67,HOLT MCDOUGAL,03/05/2013,384
159,9780399161490,The Promise: An Elvis Cole and Joe Pike Novel (An Elvis Cole Novel),Robert Crais,17.43,Putnam Adult,04/28/2015,320
160,9780785121794,Civil War,Mark Millar,14.49,Marvel Comics,04/11/2007,208
161,9780679745587,In Cold Blood,Truman Capote,10.09,Vintage,02/01/1994,343
162,9780385324137,The Outlandish Companion,Diana Gabaldon,23.06,Delacorte Press,06/29/1999,608
163,9780140268867,The Odyssey,Bernard Knox,10.17,Penguin Classics,11/01/1997,560
164,9780440180296,Slaughterhouse-Five,Kurt Vonnegut,5.99,Dell,11/03/1991,215
165,9780786965151,"Rise of the King: Companions Codex, II",R. A. Salvatore,17.68,Wizards of the Coast,09/30/2014,368
166,9780307387899,The Road,Cormac McCarthy,9.82,Vintage Books,03/28/2007,287
167,9780440414803,Holes (A Yearling Book),Louis Sachar,6.24,Dell Yearling,05/09/2000,272
